name,uid,description,author,pages,price,"isbn	"
Cube Plus Mathematics-2*,ARW000115,"Arrow Publications Pvt. Ltd. has brought out a series of Mathematics textbooks (Introductory, 1-8) titled Cube Plus+ Mathematics, developed according to the recommendations of NEP 2020, NCF-FS 2022 and NCF-SE 2023.",Alka Ratti Bakshi,200,499.90,978-93-87359-18-5
Cube Plus Mathematics-3*,ARW000116,"Arrow Publications Pvt. Ltd. has brought out a series of Mathematics textbooks (Introductory, 1-8) titled Cube Plus+ Mathematics, developed according to the recommendations of NEP 2020, NCF-FS 2022 and NCF-SE 2023.",Alka Ratti Bakshi,264,549.90,978-93-87359-30-7
Cube Plus Mathematics-4*,ARW000117,"Arrow Publications Pvt. Ltd. has brought out a series of Mathematics textbooks (Introductory, 1-8) titled Cube Plus+ Mathematics, developed according to the recommendations of NEP 2020, NCF-FS 2022 and NCF-SE 2023.",Alka Ratti Bakshi,264,549.90,978-93-87359-32-1
Cube Plus Mathematics-5*,ARW000118,"Arrow Publications Pvt. Ltd. has brought out a series of Mathematics textbooks (Introductory, 1-8) titled Cube Plus+ Mathematics, developed according to the recommendations of NEP 2020, NCF-FS 2022 and NCF-SE 2023.",Alka Ratti Bakshi,248,549.90,978-93-87359-67-3
Cube Plus Mathematics-6*,ARW000119,"Arrow Publications Pvt. Ltd. has brought out a series of Mathematics textbooks (Introductory, 1-8) titled Cube Plus+ Mathematics, developed according to the recommendations of NEP 2020, NCF-FS 2022 and NCF-SE 2023.",M.V.A. Chandra Sekhar,280,624.90,978-93-87359-82-6
Cube Plus Mathematics-7*,ARW000120,"Arrow Publications Pvt. Ltd. has brought out a series of Mathematics textbooks (Introductory, 1-8) titled Cube Plus+ Mathematics, developed according to the recommendations of NEP 2020, NCF-FS 2022 and NCF-SE 2023.",M.V.A. Chandra Sekhar,308,649.90,978-93-87359-91-8
Cube Plus Mathematics-8*,ARW000121,"Arrow Publications Pvt. Ltd. has brought out a series of Mathematics textbooks (Introductory, 1-8) titled Cube Plus+ Mathematics, developed according to the recommendations of NEP 2020, NCF-FS 2022 and NCF-SE 2023.",M.V.A. Chandra Sekhar,352,674.90,978-93-87359-63-5
Maths World - 1,ARW000122,Maths is everywhere. What you need are eyes to see maths in every creation of God. Th e series of Maths World for classes I to V has been made in accordance with the latest syllabus prescribed by NCERT and the guidelines given by the CBSE. Learning is a treasure that will follow its owner everywhere.,Alka Ratti Bakshi,224,429.90,978-93-85785-67-2
Maths World - 2,ARW000123,Maths is everywhere. What you need are eyes to see maths in every creation of God. Th e series of Maths World for classes I to V has been made in accordance with the latest syllabus prescribed by NCERT and the guidelines given by the CBSE. Learning is a treasure that will follow its owner everywhere.,Alka Ratti Bakshi,208,449.90,978-93-85785-68-9
Maths World - 3,ARW000124,Maths is everywhere. What you need are eyes to see maths in every creation of God. Th e series of Maths World for classes I to V has been made in accordance with the latest syllabus prescribed by NCERT and the guidelines given by the CBSE. Learning is a treasure that will follow its owner everywhere.,Alka Ratti Bakshi,208,469.90,978-93-85785-69-6
Maths World - 4,ARW000125,Maths is everywhere. What you need are eyes to see maths in every creation of God. Th e series of Maths World for classes I to V has been made in accordance with the latest syllabus prescribed by NCERT and the guidelines given by the CBSE. Learning is a treasure that will follow its owner everywhere.,Alka Ratti Bakshi,192,469.90,978-93-85785-70-2
Maths World - 5,ARW000126,Maths is everywhere. What you need are eyes to see maths in every creation of God. Th e series of Maths World for classes I to V has been made in accordance with the latest syllabus prescribed by NCERT and the guidelines given by the CBSE. Learning is a treasure that will follow its owner everywhere.,Alka Ratti Bakshi,200,469.90,978-93-85785-71-9
Active Mathematics - Intro,ARW000127,"Mathematics plays a vital role in our day to-day life. Therefore we have to consciously make any
book on mathematics user-friendly. Active Mathematics series has been designed for different levels. Keeping the need of the students in mind, different approaches have been used by relating the mathematical concepts to real-life situations.",Maya Sukumaran and Alka Ratti Bakshi,112,309.90,0
Active Mathematics - 1,ARW000128,"Mathematics plays a vital role in our day to-day life. Therefore we have to consciously make any
book on mathematics user-friendly. Active Mathematics series has been designed for different levels. Keeping the need of the students in mind, different approaches have been used by relating the mathematical concepts to real-life situations.",Maya Sukumaran and Alka Ratti Bakshi,176,339.90,0
Active Mathematics - 2,ARW000129,"Mathematics plays a vital role in our day to-day life. Therefore we have to consciously make any
book on mathematics user-friendly. Active Mathematics series has been designed for different levels. Keeping the need of the students in mind, different approaches have been used by relating the mathematical concepts to real-life situations.",Maya Sukumaran and Alka Ratti Bakshi,176,349.90,0
Active Mathematics - 3,ARW000130,"Mathematics plays a vital role in our day to-day life. Therefore we have to consciously make any
book on mathematics user-friendly. Active Mathematics series has been designed for different levels. Keeping the need of the students in mind, different approaches have been used by relating the mathematical concepts to real-life situations.",Maya Sukumaran and Alka Ratti Bakshi,216,359.90,0
Active Mathematics - 4,ARW000131,"Mathematics plays a vital role in our day to-day life. Therefore we have to consciously make any
book on mathematics user-friendly. Active Mathematics series has been designed for different levels. Keeping the need of the students in mind, different approaches have been used by relating the mathematical concepts to real-life situations.",Maya Sukumaran and Alka Ratti Bakshi,200,369.90,0
Active Mathematics - 5,ARW000132,"Mathematics plays a vital role in our day to-day life. Therefore we have to consciously make any
book on mathematics user-friendly. Active Mathematics series has been designed for different levels. Keeping the need of the students in mind, different approaches have been used by relating the mathematical concepts to real-life situations.",Maya Sukumaran and Alka Ratti Bakshi,200,379.90,0
Mental Maths ( Labway ) - 1,ARW000133,"This series of Mental Maths - Labway for classes I to V is projected to supplement the “Mathematics” textbook with adequate practice exercises. This series aims to equip pupils
with requisite skills to take on the challenge of handling abstractions in mathematics",Padma,48,124.90,0
Mental Maths ( Labway ) - 2,ARW000134,"This series of Mental Maths - Labway for classes I to V is projected to supplement the “Mathematics” textbook with adequate practice exercises. This series aims to equip pupils
with requisite skills to take on the challenge of handling abstractions in mathematics",Padma,48,124.90,0
Mental Maths ( Labway ) - 3,ARW000135,"This series of Mental Maths - Labway for classes I to V is projected to supplement the “Mathematics” textbook with adequate practice exercises. This series aims to equip pupils
with requisite skills to take on the challenge of handling abstractions in mathematics",Padma,56,124.90,0
Mental Maths ( Labway ) - 4,ARW000136,"This series of Mental Maths - Labway for classes I to V is projected to supplement the “Mathematics” textbook with adequate practice exercises. This series aims to equip pupils
with requisite skills to take on the challenge of handling abstractions in mathematics",Padma,56,124.90,0
Mental Maths ( Labway ) - 5,ARW000137,"This series of Mental Maths - Labway for classes I to V is projected to supplement the “Mathematics” textbook with adequate practice exercises. This series aims to equip pupils
with requisite skills to take on the challenge of handling abstractions in mathematics",Padma,64,124.90,0
Science Plus - 1*,ARW000138,"Keeping the aims and objectives of NCF-FS 2022 (Classes 1-2) and NCF-SE 2023 (Classes 3-5) in view, Arrow Publications Pvt. Ltd. has brought out a series of science textbooks titled SCIENCE PLUS for classes 1 to 5, incorporating all the features required of science textbooks in school education.","Nishitha Katamreddy, Dr. B. Viswanatham",136,359.90,978-93-87359-44-4
Science Plus - 2*,ARW000139,"Keeping the aims and objectives of NCF-FS 2022 (Classes 1-2) and NCF-SE 2023 (Classes 3-5) in view, Arrow Publications Pvt. Ltd. has brought out a series of science textbooks titled SCIENCE PLUS for classes 1 to 5, incorporating all the features required of science textbooks in school education.","Nishitha Katamreddy, Dr. B. Viswanatham",136,369.90,978-93-87359-66-6
Science Plus - 3*,ARW000140,"Keeping the aims and objectives of NCF-FS 2022 (Classes 1-2) and NCF-SE 2023 (Classes 3-5) in view, Arrow Publications Pvt. Ltd. has brought out a series of science textbooks titled SCIENCE PLUS for classes 1 to 5, incorporating all the features required of science textbooks in school education.","Nishitha Katamreddy, Dr. B. Viswanatham",136,379.90,978-93-87359-47-5
Science Plus - 4*,ARW000141,"Keeping the aims and objectives of NCF-FS 2022 (Classes 1-2) and NCF-SE 2023 (Classes 3-5) in view, Arrow Publications Pvt. Ltd. has brought out a series of science textbooks titled SCIENCE PLUS for classes 1 to 5, incorporating all the features required of science textbooks in school education.","Nishitha Katamreddy, Dr. B. Viswanatham",136,389.90,978-93-87359-55-0
Science Plus - 5*,ARW000142,"Keeping the aims and objectives of NCF-FS 2022 (Classes 1-2) and NCF-SE 2023 (Classes 3-5) in view, Arrow Publications Pvt. Ltd. has brought out a series of science textbooks titled SCIENCE PLUS for classes 1 to 5, incorporating all the features required of science textbooks in school education.","Nishitha Katamreddy, Dr. B. Viswanatham",152,399.90,978-93-87359-79-6
Social Plus - 1*,ARW000143,"Arrow Publications Pvt. Ltd. has brought out a new series of social science textbooks for classes I to V, titled Social Plus+ which conforms to the guidelines laid down by NCF-FS (Foundation Stage) 2022 (Classes 1-2) and NCF-SE (Preparatory Stage) 2023 (Classes 3-5).",Rani Thippavazzula,104,349.90,978-93-87359-19-2
Social Plus - 2*,ARW000144,"Arrow Publications Pvt. Ltd. has brought out a new series of social science textbooks for classes I to V, titled Social Plus+ which conforms to the guidelines laid down by NCF-FS (Foundation Stage) 2022 (Classes 1-2) and NCF-SE (Preparatory Stage) 2023 (Classes 3-5).",Rani Thippavazzula,104,359.90,978-93-87359-83-3
Social Plus - 3*,ARW000145,"Arrow Publications Pvt. Ltd. has brought out a new series of social science textbooks for classes I to V, titled Social Plus+ which conforms to the guidelines laid down by NCF-FS (Foundation Stage) 2022 (Classes 1-2) and NCF-SE (Preparatory Stage) 2023 (Classes 3-5).",Rani Thippavazzula,112,369.90,978-93-87359-68-0
Social Plus - 4*,ARW000146,"Arrow Publications Pvt. Ltd. has brought out a new series of social science textbooks for classes I to V, titled Social Plus+ which conforms to the guidelines laid down by NCF-FS (Foundation Stage) 2022 (Classes 1-2) and NCF-SE (Preparatory Stage) 2023 (Classes 3-5).",Rani Thippavazzula,144,389.90,978-93-87359-35-2
Social Plus - 5*,ARW000147,"Arrow Publications Pvt. Ltd. has brought out a new series of social science textbooks for classes I to V, titled Social Plus+ which conforms to the guidelines laid down by NCF-FS (Foundation Stage) 2022 (Classes 1-2) and NCF-SE (Preparatory Stage) 2023 (Classes 3-5).",Rani Thippavazzula,152,399.90,978-93-87359-25-3
EVS Plus - 1*,ARW000148,"EVS PLUS by Arrow Publications Pvt. Ltd. is a new series of Environmental Studies textbooks for classes 1 and 2, designed as per the guidelines of National Curriculum Framework – Foundational Stage (NCF–FS, 2022) and the National Educational Policy (NEP, 2020), which lays a strong emphasis on learning without stress.",Madhavi Maramraj,176,424.90,978-93-87359-72-7
EVS Plus - 2*,ARW000149,"EVS PLUS by Arrow Publications Pvt. Ltd. is a new series of Environmental Studies textbooks for classes 1 and 2, designed as per the guidelines of National Curriculum Framework – Foundational Stage (NCF–FS, 2022) and the National Educational Policy (NEP, 2020), which lays a strong emphasis on learning without stress.",Madhavi Maramraj,184,444.90,978-93-87359-21-5
Environmental World - Intro,ARW000150,"Environmental Studies by Arrow Publications is a systematically graded series, designed
with a view to help learners observe and comprehend relationships between the natural,
social and cultural environment. The books have been written in accordance with the
recommendation of the National Curriculum Framework (NCF) which calls for an
integrated perspective for the primary stage of school that draws upon insights from
sciences, social sciences and environmental education.","Smitha Kandula,  Priya Lalwani",88,289.90,978-93-86368-18-8
Environmental World - 1,ARW000151,"Environmental Studies by Arrow Publications is a systematically graded series, designed
with a view to help learners observe and comprehend relationships between the natural,
social and cultural environment. The books have been written in accordance with the
recommendation of the National Curriculum Framework (NCF) which calls for an
integrated perspective for the primary stage of school that draws upon insights from
sciences, social sciences and environmental education.","Smitha Kandula,  Priya Lalwani",104,319.90,978-93-86368-21-8
Environmental World - 2,ARW000152,"Environmental Studies by Arrow Publications is a systematically graded series, designed
with a view to help learners observe and comprehend relationships between the natural,
social and cultural environment. The books have been written in accordance with the
recommendation of the National Curriculum Framework (NCF) which calls for an
integrated perspective for the primary stage of school that draws upon insights from
sciences, social sciences and environmental education.","Smitha Kandula,  Priya Lalwani",128,339.90,978-93-86368-23-2
Environmental Studies - 1,ARW000153,The books ‘Environmental Studies’ have been written with a view to integrate the basic concepts which are of relevance to a child’s immediate environment. These books have been designed to provide the child with inputs which help him or her to relate himself or herself to real-life situations.,Dr Megha Sen,96,249.90,0
Environmental Studies - 2,ARW000154,The books ‘Environmental Studies’ have been written with a view to integrate the basic concepts which are of relevance to a child’s immediate environment. These books have been designed to provide the child with inputs which help him or her to relate himself or herself to real-life situations.,Dr Megha Sen,96,259.90,0
Environmental Studies - 3,ARW000155,The books ‘Environmental Studies’ have been written with a view to integrate the basic concepts which are of relevance to a child’s immediate environment. These books have been designed to provide the child with inputs which help him or her to relate himself or herself to real-life situations.,Dr Megha Sen,104,269.90,0
Environmental Studies - 4,ARW000156,The books ‘Environmental Studies’ have been written with a view to integrate the basic concepts which are of relevance to a child’s immediate environment. These books have been designed to provide the child with inputs which help him or her to relate himself or herself to real-life situations.,Dr Megha Sen,108,279.90,0
Environmental Studies - 5,ARW000157,The books ‘Environmental Studies’ have been written with a view to integrate the basic concepts which are of relevance to a child’s immediate environment. These books have been designed to provide the child with inputs which help him or her to relate himself or herself to real-life situations.,Dr Megha Sen,112,289.90,0
Hindi Manjusha Book - LKG*,ARW000158,Hindi 2nd or 3rd languages series with NCF 2023 based.,Sushma Sharma,80,249.90,978-93-87359-27-7
Hindi Manjusha Book - UKG*,ARW000159,Hindi 2nd or 3rd languages series with NCF 2023 based.,Sushma Sharma,128,279.90,978-93-87359-87-1
Hindi Manjusha Book - 1*,ARW000160,Hindi 2nd or 3rd languages series with NCF 2023 based.,Sushma Sharma,80,249.90,978-93-87359-84-0
Hindi Manjusha Book - 2*,ARW000161,Hindi 2nd or 3rd languages series with NCF 2023 based.,Sushma Sharma,80,259.90,978-93-87359-85-7
Hindi Manjusha Book - 3*,ARW000162,Hindi 2nd or 3rd languages series with NCF 2023 based.,Sushma Sharma,80,269.90,978-93-87359-60-4
Hindi Manjusha Book - 4*,ARW000163,Hindi 2nd or 3rd languages series with NCF 2023 based.,Sushma Sharma,96,279.90,978-93-87359-89-5
Hindi Manjusha Book - 5*,ARW000164,Hindi 2nd or 3rd languages series with NCF 2023 based.,Sushma Sharma,96,289.90,978-93-87359-64-2
Hindi Pragnapunj Book - 1,ARW000165,Hindi 1st language series,"Seema Sahay, Laxmi Vimala, Kunkum Chaturvedi",120,274.90,978-93-85785-95-5
Hindi Pragnapunj Book - 2,ARW000166,Hindi 1st language series,"Seema Sahay, Laxmi Vimala, Kunkum Chaturvedi",120,284.90,978-93-85785-96-2
Hindi Pragnapunj Book - 3,ARW000167,Hindi 1st language series,"Seema Sahay, Laxmi Vimala, Kunkum Chaturvedi",120,294.90,978-93-85785-97-9
Hindi Pragnapunj Book - 4,ARW000168,Hindi 1st language series,"Seema Sahay, Laxmi Vimala, Kunkum Chaturvedi",144,304.90,978-93-85785-98-6
Hindi Pragnapunj Book - 5,ARW000169,Hindi 1st language series,"Seema Sahay, Laxmi Vimala, Kunkum Chaturvedi",144,314.90,978-93-85785-99-3
Hindi Basha Gyan - Pra.,ARW000170,Hindi 2nd language textbooks,"Dr M. Rangayya, Mrs Priya Lalwani",48,134.90,0
Hindi Basha Gyan - 1,ARW000171,Hindi 2nd language textbooks,"Dr M. Rangayya, Mrs Priya Lalwani",48,134.90,
Hindi Basha Gyan - 2,ARW000172,Hindi 2nd language textbooks,"Dr M. Rangayya, Mrs Priya Lalwani",56,134.90,
Hindi Basha Gyan - 3,ARW000173,Hindi 2nd language textbooks,"Dr M. Rangayya, Mrs Priya Lalwani",56,134.90,
Hindi Basha Gyan - 4,ARW000174,Hindi 2nd language textbooks,"Dr M. Rangayya, Mrs Priya Lalwani",56,134.90,
Hindi Basha Gyan - 5,ARW000175,Hindi 2nd language textbooks,"Dr M. Rangayya, Mrs Priya Lalwani",56,134.90,
Hindi Abhyas Pustika - 1,ARW000176,Hindi 2nd language workbooks,"Dr M. Rangayya, Mrs Priya Lalwani",32,74.90,
Hindi Abhyas Pustika - 2,ARW000177,Hindi 2nd language workbooks,"Dr M. Rangayya, Mrs Priya Lalwani",40,74.90,
Hindi Abhyas Pustika - 3,ARW000178,Hindi 2nd language workbooks,"Dr M. Rangayya, Mrs Priya Lalwani",40,74.90,
Hindi Abhyas Pustika - 4,ARW000179,Hindi 2nd language workbooks,"Dr M. Rangayya, Mrs Priya Lalwani",40,74.90,
Hindi Abhyas Pustika - 5,ARW000180,Hindi 2nd language workbooks,"Dr M. Rangayya, Mrs Priya Lalwani",40,74.90,
Nava Hindi Sulekhmala - 1,ARW000181,Hindi copy writing books,A Team of Experienced Teachers,32,138.90,978-93-87327-62-7
Nava Hindi Sulekhmala - 2,ARW000182,Hindi copy writing books,A Team of Experienced Teachers,40,138.90,978-93-87327-63-4
Nava Hindi Sulekhmala - 3,ARW000183,Hindi copy writing books,A Team of Experienced Teachers,32,138.90,978-93-87327-64-1
Nava Hindi Sulekhmala - 4,ARW000184,Hindi copy writing books,A Team of Experienced Teachers,32,138.90,978-93-87327-65-8
Nava Hindi Sulekhmala - 5,ARW000185,Hindi copy writing books,A Team of Experienced Teachers,32,138.90,978-93-87327-66-5
Hindi Sulekhmala - 1,ARW000186,Hindi copy writing books,A Team of Experienced Teachers,32,85.90,
Hindi Sulekhmala - 2,ARW000187,Hindi copy writing books,A Team of Experienced Teachers,40,85.90,
Hindi Sulekhmala - 3,ARW000188,Hindi copy writing books,A Team of Experienced Teachers,32,85.90,
Hindi Sulekhmala - 4,ARW000189,Hindi copy writing books,A Team of Experienced Teachers,32,85.90,
Hindi Sulekhmala - 5,ARW000190,Hindi copy writing books,A Team of Experienced Teachers,32,85.90,
Magic Art Book - A*,ARW000191,"Art and craft series A, B, C, 1 to 8 books",A Team of Experienced Art Teachers,36,424.90,978-93-87359-62-8
Magic Art Book - B*,ARW000192,"Art and craft series A, B, C, 1 to 8 books",A Team of Experienced Art Teachers,36,424.90,978-93-87359-46-8
Magic Art Book - C*,ARW000193,"Art and craft series A, B, C, 1 to 8 books",A Team of Experienced Art Teachers,36,424.90,978-93-87359-51-2
Magic Art Book - 1*,ARW000194,"Art and craft series A, B, C, 1 to 8 books",A Team of Experienced Art Teachers,40,439.90,978-93-87359-57-4
Magic Art Book - 2*,ARW000195,"Art and craft series A, B, C, 1 to 8 books",A Team of Experienced Art Teachers,40,439.90,978-93-87359-93-2
Magic Art Book - 3*,ARW000196,"Art and craft series A, B, C, 1 to 8 books",A Team of Experienced Art Teachers,40,439.90,978-93-87359-78-9
Magic Art Book - 4*,ARW000197,"Art and craft series A, B, C, 1 to 8 books",A Team of Experienced Art Teachers,40,439.90,978-93-87359-40-6
Magic Art Book - 5*,ARW000198,"Art and craft series A, B, C, 1 to 8 books",A Team of Experienced Art Teachers,40,439.90,978-93-87359-31-4
Magic Art Book - 6*,ARW000199,"Art and craft series A, B, C, 1 to 8 books",A Team of Experienced Art Teachers,40,439.90,978-93-87359-92-5
Magic Art Book - 7*,ARW000200,"Art and craft series A, B, C, 1 to 8 books",A Team of Experienced Art Teachers,40,439.90,978-93-87359-52-9
Magic Art Book - 8*,ARW000201,"Art and craft series A, B, C, 1 to 8 books",A Team of Experienced Art Teachers,40,439.90,978-93-87359-76-5
Art World Book - A,ARW000202,"Art and craft series A, B, C, 1 to 8 books",A Team of Experienced Art Teachers,32,449.90,978-93-85785-00-9
Art World Book - B,ARW000203,"Art and craft series A, B, C, 1 to 8 books",A Team of Experienced Art Teachers,32,449.90,978-93-85785-01-6
Art World Book - C,ARW000204,"Art and craft series A, B, C, 1 to 8 books",A Team of Experienced Art Teachers,32,449.90,978-93-85785-02-3
Art World Book - 1,ARW000205,"Art and craft series A, B, C, 1 to 8 books",A Team of Experienced Art Teachers,40,474.90,978-93-85785-03-0
Art World Book - 2,ARW000206,"Art and craft series A, B, C, 1 to 8 books",A Team of Experienced Art Teachers,40,474.90,978-93-85785-04-7
Art World Book - 3,ARW000207,"Art and craft series A, B, C, 1 to 8 books",A Team of Experienced Art Teachers,40,474.90,978-93-85785-05-4
Art World Book - 4,ARW000208,"Art and craft series A, B, C, 1 to 8 books",A Team of Experienced Art Teachers,40,474.90,978-93-85785-06-1
Art World Book - 5,ARW000209,"Art and craft series A, B, C, 1 to 8 books",A Team of Experienced Art Teachers,40,474.90,978-93-85785-07-8
Art World Book - 6,ARW000210,"Art and craft series A, B, C, 1 to 8 books",A Team of Experienced Art Teachers,48,474.90,978-93-85785-08-5
Art World Book - 7,ARW000211,"Art and craft series A, B, C, 1 to 8 books",A Team of Experienced Art Teachers,48,474.90,978-93-85785-09-2
Art World Book - 8,ARW000212,"Art and craft series A, B, C, 1 to 8 books",A Team of Experienced Art Teachers,48,474.90,978-93-85785-10-8
Art and Craft - A,ARW000213,"Art and craft series A, B, 1 to 8 books",A Team of Experienced Art Teachers,24,194.90,978-93-86368-78-2
Art and Craft - B,ARW000214,"Art and craft series A, B, 1 to 8 books",A Team of Experienced Art Teachers,24,194.90,978-93-86368-79-9
Art and Craft - 1,ARW000215,"Art and craft series A, B, 1 to 8 books",A Team of Experienced Art Teachers,24,194.90,978-93-86368-80-5
Art and Craft - 2,ARW000216,"Art and craft series A, B, 1 to 8 books",A Team of Experienced Art Teachers,24,194.90,978-93-86368-81-2
Art and Craft - 3,ARW000217,"Art and craft series A, B, 1 to 8 books",A Team of Experienced Art Teachers,32,194.90,978-93-86368-82-9
Art and Craft - 4,ARW000218,"Art and craft series A, B, 1 to 8 books",A Team of Experienced Art Teachers,32,194.90,978-93-86368-83-6
Art and Craft - 5,ARW000219,"Art and craft series A, B, 1 to 8 books",A Team of Experienced Art Teachers,32,194.90,978-93-86368-84-3
Art and Craft - 6,ARW000220,"Art and craft series A, B, 1 to 8 books",A Team of Experienced Art Teachers,32,194.90,978-93-86368-85-0
Art and Craft - 7,ARW000221,"Art and craft series A, B, 1 to 8 books",A Team of Experienced Art Teachers,40,194.90,978-93-86368-86-7
Art and Craft - 8,ARW000222,"Art and craft series A, B, 1 to 8 books",A Team of Experienced Art Teachers,40,194.90,978-93-86368-87-4
Colour Book - A,ARW000223,"Art and colour series A, B, 1 to 5 books",A Team of Experienced Art Teachers,24,119.90,978-93-87327-55-9
Colour Book - B,ARW000224,"Art and colour series A, B, 1 to 5 books",A Team of Experienced Art Teachers,24,119.90,978-93-87327-56-6
Colour Book - 1,ARW000225,"Art and colour series A, B, 1 to 5 books",A Team of Experienced Art Teachers,24,119.90,978-93-87327-57-3
Colour Book - 2,ARW000226,"Art and colour series A, B, 1 to 5 books",A Team of Experienced Art Teachers,24,119.90,978-93-87327-58-0
Colour Book - 3,ARW000227,"Art and colour series A, B, 1 to 5 books",A Team of Experienced Art Teachers,24,119.90,978-93-87327-59-7
Colour Book - 4,ARW000228,"Art and colour series A, B, 1 to 5 books",A Team of Experienced Art Teachers,24,119.90,978-93-87327-60-3
Colour Book - 5,ARW000229,"Art and colour series A, B, 1 to 5 books",A Team of Experienced Art Teachers,24,119.90,978-93-87327-61-0
Mind Quest - GK - Book - 1,ARW000230,"Mind Quest is a series of eight general knowledge books for classes 1 to 8 for the school
curriculum designed to give children an in-depth information on various subjects. It aims
to instill in learners an all-round comprehension of the present-day affairs and to keep
them abreast of the happenings in this ever-changing world.",A Team of Experienced Teachers,96,289.90,978-93-86368-60-7
Mind Quest - GK - Book - 2,ARW000231,"Mind Quest is a series of eight general knowledge books for classes 1 to 8 for the school
curriculum designed to give children an in-depth information on various subjects. It aims
to instill in learners an all-round comprehension of the present-day affairs and to keep
them abreast of the happenings in this ever-changing world.",A Team of Experienced Teachers,96,299.90,978-93-86368-61-4
Mind Quest - GK - Book - 3,ARW000232,"Mind Quest is a series of eight general knowledge books for classes 1 to 8 for the school
curriculum designed to give children an in-depth information on various subjects. It aims
to instill in learners an all-round comprehension of the present-day affairs and to keep
them abreast of the happenings in this ever-changing world.",A Team of Experienced Teachers,112,309.90,978-93-86368-62-1
Mind Quest - GK - Book - 4,ARW000233,"Mind Quest is a series of eight general knowledge books for classes 1 to 8 for the school
curriculum designed to give children an in-depth information on various subjects. It aims
to instill in learners an all-round comprehension of the present-day affairs and to keep
them abreast of the happenings in this ever-changing world.",A Team of Experienced Teachers,112,319.90,978-93-86368-63-8
Mind Quest - GK - Book - 5,ARW000234,"Mind Quest is a series of eight general knowledge books for classes 1 to 8 for the school
curriculum designed to give children an in-depth information on various subjects. It aims
to instill in learners an all-round comprehension of the present-day affairs and to keep
them abreast of the happenings in this ever-changing world.",A Team of Experienced Teachers,112,329.90,978-93-86368-64-5
Mind Quest - GK - Book - 6,ARW000235,"Mind Quest is a series of eight general knowledge books for classes 1 to 8 for the school
curriculum designed to give children an in-depth information on various subjects. It aims
to instill in learners an all-round comprehension of the present-day affairs and to keep
them abreast of the happenings in this ever-changing world.",A Team of Experienced Teachers,112,339.90,978-93-86368-65-2
Mind Quest - GK - Book - 7,ARW000236,"Mind Quest is a series of eight general knowledge books for classes 1 to 8 for the school
curriculum designed to give children an in-depth information on various subjects. It aims
to instill in learners an all-round comprehension of the present-day affairs and to keep
them abreast of the happenings in this ever-changing world.",A Team of Experienced Teachers,112,339.90,978-93-86368-66-9
Mind Quest - GK - Book - 8,ARW000237,"Mind Quest is a series of eight general knowledge books for classes 1 to 8 for the school
curriculum designed to give children an in-depth information on various subjects. It aims
to instill in learners an all-round comprehension of the present-day affairs and to keep
them abreast of the happenings in this ever-changing world.",A Team of Experienced Teachers,112,339.90,978-93-86368-67-6
Mr. Know All - GK - 1,ARW000238,"Mr Know All is a series of General Knowledge books for classes 1-8, which equips students with
knowledge to understand the real world outside their classrooms.",Kala Ramanathan,64,209.90,
Mr. Know All - GK - 2,ARW000239,"Mr Know All is a series of General Knowledge books for classes 1-8, which equips students with
knowledge to understand the real world outside their classrooms.",Kala Ramanathan,64,209.90,
Mr. Know All - GK - 3,ARW000240,"Mr Know All is a series of General Knowledge books for classes 1-8, which equips students with
knowledge to understand the real world outside their classrooms.",Kala Ramanathan,64,209.90,
Mr. Know All - GK - 4,ARW000241,"Mr Know All is a series of General Knowledge books for classes 1-8, which equips students with
knowledge to understand the real world outside their classrooms.",Kala Ramanathan,64,209.90,
Mr. Know All - GK - 5,ARW000242,"Mr Know All is a series of General Knowledge books for classes 1-8, which equips students with
knowledge to understand the real world outside their classrooms.",Kala Ramanathan,64,209.90,
Mr. Know All - GK - 6,ARW000243,"Mr Know All is a series of General Knowledge books for classes 1-8, which equips students with
knowledge to understand the real world outside their classrooms.",Kala Ramanathan,64,229.90,
Mr. Know All - GK - 7,ARW000244,"Mr Know All is a series of General Knowledge books for classes 1-8, which equips students with
knowledge to understand the real world outside their classrooms.",Kala Ramanathan,64,229.90,
Mr. Know All - GK - 8,ARW000245,"Mr Know All is a series of General Knowledge books for classes 1-8, which equips students with
knowledge to understand the real world outside their classrooms.",Kala Ramanathan,64,229.90,
General Knowledge Book - 1,ARW000246,"ARROW PUBLICATIONS PVT. LTD. have kept this in mind when we designed this series ‘GENERAL KNOWLEDGE - 1 to 8’, where wholesome food for thought has been provided to children.
Each book is unique in itself as it caters to that particular age group. A variety of topics and exercises have been introduced to keep in league with the demand of the present age.",A Team of Experienced Teachers,48,189.90,
General Knowledge Book - 2,ARW000247,"ARROW PUBLICATIONS PVT. LTD. have kept this in mind when we designed this series ‘GENERAL KNOWLEDGE - 1 to 8’, where wholesome food for thought has been provided to children.
Each book is unique in itself as it caters to that particular age group. A variety of topics and exercises have been introduced to keep in league with the demand of the present age.",A Team of Experienced Teachers,48,189.90,
General Knowledge Book - 3,ARW000248,"ARROW PUBLICATIONS PVT. LTD. have kept this in mind when we designed this series ‘GENERAL KNOWLEDGE - 1 to 8’, where wholesome food for thought has been provided to children.
Each book is unique in itself as it caters to that particular age group. A variety of topics and exercises have been introduced to keep in league with the demand of the present age.",A Team of Experienced Teachers,48,189.90,
